sample_sequence,sample_group,dictionary_entry_id,word,word_normalized,english_definition,part_of_speech,noun_class,dialect,bucket,mapping_status,ambiguity_action,heuristic_confidence,proposed_concept_key,heuristic_flags,ambiguity_indicators,reason_codes,repeated_form_count,distinct_definition_count,same_definition_form_count,other_definitions_for_form,reviewer_decision,reviewer_concept_label,reviewer_definition,reviewer_notes,pipeline_bucket_correct,pipeline_ambiguity_correct
135,bucket_C,b7eea3a1-dbb1-4dd5-bad8-2ae58c2c1da0,ikalamu,ikalamu,pencil; pen (<Swahili),n.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
136,bucket_C,411cde68-6bbf-485f-b14e-17439f33c588,omumitsi,omumitsi,sower; one who sows seed broadcast,n.,,Luwanga,C,needs_split,likely_split,0.25,,"[""context_marker:one who""]","[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
137,bucket_C,18169dee-49f6-472f-bf9f-de9a39978870,obwista,obwista,friendship; okhuhambana obwitsa 'become friends',n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
138,bucket_C,0dc4f79b-ef08-468a-b048-9ff667639994,olusheti,olusheti,one of the thin sticks forming the framework for a mud wall or thatched roof,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
139,bucket_C,1655bc02-9f4a-413c-9275-ff6c5a92bca5,-tsinzibu,-tsinzibu,"tasteless; insipid (eshitsinzibu, efitsinzibu, etc.)",adj.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
140,bucket_C,cb306b3a-4d1f-41c8-8fd8-0c4c22bef114,ibirika,ibirika,kettle; teapot,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
141,bucket_C,583cb653-cd03-4e99-935b-6e021569607f,lichenda,lichenda,humerus; upper bone of arm; foreleg of animal,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
142,bucket_C,bc5093e9-8278-4d63-9597-7fa39bbe0a0f,okhuyindira,okhuyindira,live very long (see also okhuiindira),v.int.,,Luwanga,C,needs_split,contextual_review,0.5,,"[""context_marker:see also""]","[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
143,bucket_C,74891f02-3afc-4d48-bbdd-53c1b11e0130,okhubukana nende,okhubukana nende,meet (with),v.tr.,,Luwanga,C,needs_split,contextual_review,0.5,,[],"[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
144,bucket_C,4e1f0f8e-0820-434c-b1af-58dbf21955e4,okhufutula,okhufutula,"pierce; make holes; perforate; penetrate to the other side, as a patch of bush being cleared, or a section of a field being dug",v.tr.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""long_commentary_definition"", ""semicolon_segments"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""LONG_COMMENTARY_DEFINITION"", ""SEMICOLON_SEGMENTS"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
145,bucket_C,1a236345-8e2f-4a3d-bb9f-bf2d56b060e2,okhuola,okhuola,rear; bring up a child,v.tr.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",3,3,1,"[""roar, e.g. wild animal; sound of rain in the distance; retch"", ""borrow; lend""]",,,,,,
146,bucket_C,08d40fd3-de89-45e8-912d-613537e63cd6,itabureta,itabureta,typewriter; printing press (see ichapa),n.,,Luwanga,C,needs_split,likely_split,0.25,,[],"[""contextual_language"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
147,bucket_C,c49670f3-a23f-40f3-993d-cae82d9a3779,amatsayi,amatsayi,"blood (see also amalasire, amabanga)",n.,,Luwanga,C,needs_split,contextual_review,0.5,,"[""context_marker:see also""]","[""contextual_language""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE""]",1,1,1,[],,,,,,
148,bucket_C,a98f4c41-f7a3-4d66-ba97-e07b0095b921,eshiachi,eshiachi,granary; grain store,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
149,bucket_C,2267f213-2083-4ba9-9e24-60a70b7f5ded,okhumbakha,okhumbakha,build; better spelt umbakha,v.tr.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
150,bucket_C,68cce867-6bc2-4b3c-ab13-0cb98a930013,obulemu,obulemu,lack; falling short; shortage,n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
